gbifID;publisher;datasetID;datasetName;decimalLatitude;decimalLongitude;scientificName;publisher;coordinatePrecision;coordinateUncertaintyInMeters;datasetID;datasetName;decimalLatitude;decimalLongitude;geodeticDatum;scientificName
617173112;;;;38.28;-0.82;Anthyllis cytisoides L.;;;10000;;;38.28;-0.82;;Anthyllis cytisoides L.
617174726;;;;38.01;-0.94;Anthyllis cytisoides L.;;;10000;;;38.01;-0.94;;Anthyllis cytisoides L.
617218589;;;;38.19;-0.94;Anthyllis cytisoides L.;;;10000;;;38.19;-0.94;;Anthyllis cytisoides L.
617221556;;;;37.93;-1.17;Anthyllis cytisoides L.;;;10000;;;37.93;-1.17;;Anthyllis cytisoides L.
617223206;;;;36.95;-3.67;Anthyllis cytisoides L.;;;10000;;;36.95;-3.67;;Anthyllis cytisoides L.
617138960;;;;36.77;-3.22;Anthyllis cytisoides L.;;;10000;;;36.77;-3.22;;Anthyllis cytisoides L.
617016299;;;;37.57;-1.07;Anthyllis cytisoides L.;;;10000;;;37.57;-1.07;;Anthyllis cytisoides L.
617446520;;;;38.63;0.12;Anthyllis cytisoides L.;;;10000;;;38.63;0.12;;Anthyllis cytisoides L.
617447873;;;;38.63;0.01;Anthyllis cytisoides L.;;;10000;;;38.63;0.01;;Anthyllis cytisoides L.
617448629;;;;38.72;0.12;Anthyllis cytisoides L.;;;10000;;;38.72;0.12;;Anthyllis cytisoides L.
617478200;;;;36.76;-4.79;Anthyllis cytisoides L.;;;10000;;;36.76;-4.79;;Anthyllis cytisoides L.
617496482;;;;38.56;-0.93;Anthyllis cytisoides L.;;;10000;;;38.56;-0.93;;Anthyllis cytisoides L.
616693460;;;;38.37;-0.82;Anthyllis cytisoides L.;;;10000;;;38.37;-0.82;;Anthyllis cytisoides L.
616697420;;;;45.02;-6.04;Anthyllis cytisoides L.;;;10000;;;45.02;-6.04;;Anthyllis cytisoides L.
616761671;;;;40.89;0.38;Anthyllis cytisoides L.;;;10000;;;40.89;0.38;;Anthyllis cytisoides L.
616784108;;;;37.13;-1.87;Anthyllis cytisoides L.;;;10000;;;37.13;-1.87;;Anthyllis cytisoides L.
617351738;;;;39.47;2.41;Anthyllis cytisoides L.;;;10000;;;39.47;2.41;;Anthyllis cytisoides L.
617351804;;;;39.29;2.88;Anthyllis cytisoides L.;;;10000;;;39.29;2.88;;Anthyllis cytisoides L.
618239884;;;;36.47;-5.67;Anthyllis cytisoides L.;;;10000;;;36.47;-5.67;;Anthyllis cytisoides L.
618522133;;;;38.46;-0.82;Anthyllis cytisoides L.;;;10000;;;38.46;-0.82;;Anthyllis cytisoides L.
618379108;;;;39.19;-1.14;Anthyllis cytisoides L.;;;10000;;;39.19;-1.14;;Anthyllis cytisoides L.
617782523;;;;38.29;-1.39;Anthyllis cytisoides L.;;;10000;;;38.29;-1.39;;Anthyllis cytisoides L.
618057721;;;;39.19;-1.14;Anthyllis cytisoides L.;;;10000;;;39.19;-1.14;;Anthyllis cytisoides L.
618075868;;;;37.66;-1.18;Anthyllis cytisoides L.;;;10000;;;37.66;-1.18;;Anthyllis cytisoides L.
618144706;;;;37.48;-1.3;Anthyllis cytisoides L.;;;10000;;;37.48;-1.3;;Anthyllis cytisoides L.
232610269;;;;36.3113;-6.02827;Anthyllis cytisoides L.;;10;;;;;;;Anthyllis cytisoides
